sample_id,unique_sample_id,sample_label,Crop,treatment_2,date,watershed,AM_vs_ECM,soil_type,mycorrhizal_colonization_617_622,extra_mycol_722,extra_mycol_822,AP_617_622,BG_617_622,NAG_617_622,Phenox_617_622,Perox_617_622,AP_517_722,BG_517_722,NAG_517_722,Phenox_517_722,Perox_517_722
Brzostek_184,184,2022 7 AM5 B,,reference,2022,7_ecosystem_recovery,AM,Bulk,,48.80952381,54.76190476,0.277449277,0.529783758,0.010534446,,,,0.210073289,0.043378055,0.453057655,0.487126607
Brzostek_186,186,2022 7 AM6 R,,reference,2022,7_ecosystem_recovery,AM,Rhizosphere,,,,0.298083188,0.161054208,0.010105109,,,0.93013283,0.274028914,0.059264555,0.700169383,0.965142719
Brzostek_187,187,2022 7 AM6 B,,reference,2022,7_ecosystem_recovery,AM,Bulk,,64.28571429,50.37593985,0.240070174,0.180391641,0.012729671,,,1.084131169,0.242888671,0.051216231,0.6847973,0.903249393
Brzostek_189,189,2022 7 ECM1 R,,reference,2022,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.693130063,0.250379128,0.007370645,,,0.890001464,0.415009542,0.090367902,1.108107295,0.305452145
Brzostek_192,192,2022 7 ECM2 R,,reference,2022,7_ecosystem_recovery,ECM,Rhizosphere,,,,,0.257705165,0.00247244,,,1.773211867,0.48469682,0.106487917,1.018279211,0.518331051
Brzostek_193,193,2022 7 ECM2 B,,reference,2022,7_ecosystem_recovery,ECM,Bulk,70.58823529,7.692307692,25,,0.180270895,0.006750008,,,1.07746145,0.344754369,0.074121878,0.53090808,0.838564153
Brzostek_195,195,2022 7 ECM3 R,,reference,2022,7_ecosystem_recovery,ECM,Rhizosphere,,,,,0.175088553,0.039575065,,,0.23059136,0.183599825,0.038769237,1.24370511,1.030976388
Brzostek_196,196,2022 7 ECM3 B,,reference,2022,7_ecosystem_recovery,ECM,Bulk,96.15384615,4.761904762,24,,0.134559754,0.014485548,,,0.509311777,0.170002413,0.033908176,1.232827647,1.520663993
Brzostek_198,198,2022 7 ECM4 R,,reference,2022,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.975175369,0.217585045,0.026765977,,,0.702736997,0.245582809,0.051898285,0.522507543,0.612524738
Brzostek_199,199,2022 7 ECM4 B,,reference,2022,7_ecosystem_recovery,ECM,Bulk,96.77419355,31.81818182,36.36363636,0.841805145,0.442156771,0.027634468,,,0.80986318,0.295134194,0.063344307,0.372891297,0.396684918
Brzostek_201,201,2022 7 ECM5 R,,reference,2022,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.895385246,0.243330484,0.044389458,,,0.456007751,0.07979161,0.012125553,0.194786686,0.133470164
Brzostek_202,202,2022 7 ECM5 B,,reference,2022,7_ecosystem_recovery,ECM,Bulk,78.57142857,20.83333333,50,0.82136797,0.166357806,,,,0.940514757,0.141312306,0.025975657,0.342122472,0.327948834
Brzostek_204,204,2022 7 ECM6 R,,reference,2022,7_ecosystem_recovery,ECM,Rhizosphere,,,,0.90810396,0.246447356,0.014013691,,,0.463574954,0.292469843,0.06198714,0.442873367,0.203733361
Brzostek_205,205,2022 7 ECM6 B,,reference,2022,7_ecosystem_recovery,ECM,Bulk,80.76923077,20,28.125,0.665258303,0.13818399,0.021756711,,,0.780536981,0.478415739,0.104552309,0.231473834,0.282044455
Brzostek_76,76,2017 7 AM2 R,,reference,2017,7_ecosystem_recovery,AM,Rhizosphere,,,,0.259730018,0.065134243,0.020542217,0.366354582,2.257397675,0.634578289,0.204940219,0.062295336,0.888904474,2.470602381
Brzostek_77,77,2017 7 AM3 R,,reference,2017,7_ecosystem_recovery,AM,Rhizosphere,,,,0.251615345,0.066530481,0.012899979,0.327610107,2.259167819,0.523422761,0.143171661,0.090035084,0.241909,0.791249833
Brzostek_78,78,2017 7 AM5 R,,reference,2017,7_ecosystem_recovery,AM,Rhizosphere,,,,0.210812926,0.02327876,0.004357113,0.166606347,2.318135157,0.451203586,0.106954071,0.037,0.474971067,3.211722357
Brzostek_79,79,2017 7 AM6 R,,reference,2017,7_ecosystem_recovery,AM,Rhizosphere,,,,0.253704487,0.032621197,0.006188297,0.783150691,4.397519612,0.405363157,0.073421029,0.020661192,0.598086907,3.266223626
Brzostek_80,80,2017 3 ECM1 R,,n fertilized,2017,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.365116831,0.049321119,0.016165713,0.393608575,2.634235931,0.591104934,0.086352259,0.021127344,0.565534376,4.014357194
Brzostek_81,81,2017 3 ECM2 R,,n fertilized,2017,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.225869617,0.043104239,0.007018685,0.38640304,3.03913647,0.530408226,0.112118115,0.053767662,0.377566318,1.603920995
Brzostek_82,82,2017 3 ECM3 R,,n fertilized,2017,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.219479111,0.047703624,0.005284864,0.446919592,3.1030951,0.470854199,0.100107795,0.039165127,0.202210914,3.492385714
Brzostek_83,83,2017 3 ECM4 R,,n fertilized,2017,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.360474117,0.065174614,0.01049345,0.49245516,2.968931384,0.402592836,0.078417031,0.019040338,0.301346683,2.014516624
Brzostek_84,84,2017 3 ECM5 R,,n fertilized,2017,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.289782256,0.039879488,0.008858789,0.49649709,3.153265012,0.442971593,0.078529471,0.024683199,0.383052064,3.259597154
Brzostek_85,85,2017 3 ECM6 R,,n fertilized,2017,3_ammonium_sulfate,ECM,Rhizosphere,,,,0.294397936,0.028514196,0.007080668,0.146482104,2.209344198,0.424703686,0.083109459,0.013499324,0.254763697,2.839689391
Brzostek_86,86,2017 7 AM1 B,,reference,2017,7_ecosystem_recovery,AM,Bulk,60,,,0.233604647,0.064741263,0.009980334,0.476139542,2.561146253,0.354334011,0.057518879,0.021530965,0.507245121,3.572746535
Brzostek_87,87,2017 7 AM2 B,,reference,2017,7_ecosystem_recovery,AM,Bulk,81.48148148,,,0.371611954,0.045017336,0.017190806,0.330151848,2.185304741,0.556815921,0.202734818,0.0730109,0.482078366,2.271904862
Brzostek_88,88,2017 7 AM3 B,,reference,2017,7_ecosystem_recovery,AM,Bulk,76.5625,,,0.291792525,0.030176141,0.016287961,0.393858894,1.683054892,0.573006872,0.158188119,0.108345946,0.267719034,0.929505443
Brzostek_89,89,2017 7 AM4 B,,reference,2017,7_ecosystem_recovery,AM,Bulk,78.125,,,0.275804545,0.073224425,0.009152288,0.679781387,4.021624545,0.361912438,0.082172599,0.020342905,0.533897134,3.292877163
Brzostek_90,90,2017 7 AM5 B,,reference,2017,7_ecosystem_recovery,AM,Bulk,55.73770492,,,0.277861692,0.026577579,0.006517236,0.376292164,2.040973173,0.419743625,0.115151281,0.025827885,0.348500778,2.910193887
Brzostek_91,91,2017 7 AM6 B,,reference,2017,7_ecosystem_recovery,AM,Bulk,78,,,0.174210471,0.029551049,0.003513931,0.490886836,2.409710681,0.428690526,0.055780038,0.015835524,0.508335814,3.432931687
Brzostek_92,92,2017 3 ECM1 B,,n fertilized,2017,3_ammonium_sulfate,ECM,Bulk,35.29411765,,,0.334544831,0.073001911,0.013072334,0.288920771,2.408427814,0.570658617,0.192347762,0.060070143,0.472003889,3.26234778
Brzostek_93,93,2017 3 ECM2 B,,n fertilized,2017,3_ammonium_sulfate,ECM,Bulk,41.93548387,,,0.198135145,0.036656012,0.005061902,0.266209234,1.229865075,0.401422973,0.110664765,0.038737012,0.34448414,1.702512766
Brzostek_94,94,2017 3 ECM3 B,,n fertilized,2017,3_ammonium_sulfate,ECM,Bulk,32.55813953,,,0.28024247,0.05983625,0.005769672,0.31903431,2.380550058,0.476660473,0.105316625,0.032904483,0.274915611,2.826155359
Brzostek_95,95,2017 3 ECM4 B,,n fertilized,2017,3_ammonium_sulfate,ECM,Bulk,36.36363636,,,0.297735735,0.062756914,0.011553797,0.23389469,2.260982022,0.379093118,0.092690157,0.037957216,0.24612776,1.778056432
Brzostek_96,96,2017 3 ECM5 B,,n fertilized,2017,3_ammonium_sulfate,ECM,Bulk,38,,,0.236369454,0.030758801,0.004089539,0.258884822,2.242426798,0.378866257,0.08173063,0.025407769,0.325193103,2.621990031
Brzostek_97,97,2017 3 ECM6 B,,n fertilized,2017,3_ammonium_sulfate,ECM,Bulk,46.2962963,,,0.302044415,0.054513725,0.011007519,0.176555479,2.382165473,0.428748113,0.081778018,0.022403894,0.237574941,2.225602165
