"sample_id","sample_number","sample_info_id","site_treatment","date","site","symbiotroph","soil","measurement_date","am_colonization","ecm_colonziation","ap","bg","nag","phenox","perox"
"Brzostek_114","114","2017_3_AM5_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","517_722",NA,NA,0.307486032,0.041847163,0.012009201,0.582386284,2.279761797
"Brzostek_115","115","2017_3_AM6_R","ammonium_sulfate","2017","ws3","AM","Rhizosphere","517_722",NA,NA,0.505282697,0.124435649,0.046127353,0.256978978,4.240153141
"Brzostek_116","116","2017_7_ECM1_R","recovery","2017","ws7","ECM","Rhizosphere","517_722",NA,NA,0.398229971,0.104923925,0.029214701,0.628126754,5.876481277
"Brzostek_117","117","2017_7_ECM2_R","recovery","2017","ws7","ECM","Rhizosphere","517_722",NA,NA,0.290307622,0.080993001,0.023937133,0.410537149,5.084940398
"Brzostek_118","118","2017_7_ECM3_R","recovery","2017","ws7","ECM","Rhizosphere","517_722",NA,NA,0.32189527,0.034709477,0.030251027,0.740193144,8.65532565
"Brzostek_119","119","2017_7_ECM4_R","recovery","2017","ws7","ECM","Rhizosphere","517_722",NA,NA,0.846916865,0.288962466,0.528425644,0.339498588,4.618595233
"Brzostek_120","120","2017_7_ECM5_R","recovery","2017","ws7","ECM","Rhizosphere","517_722",NA,NA,0.536521463,0.104682787,0.041155205,0.419357255,4.089313629
"Brzostek_121","121","2017_7_ECM6_R","recovery","2017","ws7","ECM","Rhizosphere","517_722",NA,NA,0.730795077,0.215041069,0.185311018,0.674658244,4.940838723
"Brzostek_122","122","2017_3_AM1_B","ammonium_sulfate","2017","ws3","AM","Bulk","517_722",NA,NA,0.283194248,0.058094416,0.016744113,0.439082269,4.423033519
"Brzostek_123","123","2017_3_AM2_B","ammonium_sulfate","2017","ws3","AM","Bulk","517_722",NA,NA,0.403589213,0.06719046,0.022725199,0.407854044,5.322662657
"Brzostek_124","124","2017_3_AM3_B","ammonium_sulfate","2017","ws3","AM","Bulk","517_722",NA,NA,0.465472423,0.073766697,0.023898101,0.475760309,4.993641416
"Brzostek_125","125","2017_3_AM4_B","ammonium_sulfate","2017","ws3","AM","Bulk","517_722",NA,NA,0.357287683,0.072228042,0.024056198,0.402300738,4.453223712
"Brzostek_126","126","2017_3_AM5_B","ammonium_sulfate","2017","ws3","AM","Bulk","517_722",NA,NA,0.610886179,0.148622384,0.038037864,0.235496394,4.412181878
"Brzostek_127","127","2017_3_AM6_B","ammonium_sulfate","2017","ws3","AM","Bulk","517_722",NA,NA,0.390775959,0.095483231,0.054142806,0.429183548,4.389634129
"Brzostek_128","128","2017_7_ECM1_B","recovery","2017","ws7","ECM","Bulk","517_722",NA,NA,0.392135231,0.127668634,0.025638876,0.735540402,6.86117464
"Brzostek_130","130","2017_7_ECM3_B","recovery","2017","ws7","ECM","Bulk","517_722",NA,NA,0.356132485,0.04995424,0.0376059,0.590544626,7.028628531
"Brzostek_131","131","2017_7_ECM4_B","recovery","2017","ws7","ECM","Bulk","517_722",NA,NA,0.540348379,0.159565625,0.254499175,0.334124168,2.114216705
"Brzostek_132","132","2017_7_ECM5_B","recovery","2017","ws7","ECM","Bulk","517_722",NA,NA,0.441538262,0.132238518,0.036926481,0.674269985,4.983595536
"Brzostek_133","133","2017_7_ECM6_B","recovery","2017","ws7","ECM","Bulk","517_722",NA,NA,0.589488017,0.37474543,0.345152616,0.416271243,4.881955819
"Brzostek_135","135","2022_3_AM1_R","ammonium_sulfate","2022","ws3","AM","Rhizosphere","517_722",NA,NA,0.502103653,0.299014573,0.010036888,0.689131529,1.427928217
"Brzostek_136","136","2022_3_AM1_B","ammonium_sulfate","2022","ws3","AM","Bulk","517_722",NA,NA,0.327946258,0.126276232,0.003099288,1.016644043,3.104411843
"Brzostek_138","138","2022_3_AM2_R","ammonium_sulfate","2022","ws3","AM","Rhizosphere","517_722",NA,NA,0.575736586,0.188303914,0.00498915,0.367232313,0.276918475
"Brzostek_139","139","2022_3_AM2_B","ammonium_sulfate","2022","ws3","AM","Bulk","517_722",NA,12.82051282,0.25960056,0.087148833,0.003098598,0.301796482,0.299589342
"Brzostek_141","141","2022_3_AM3_R","ammonium_sulfate","2022","ws3","AM","Rhizosphere","517_722",NA,NA,0.534432027,0.174842853,0.006650583,NA,NA
"Brzostek_142","142","2022_3_AM3_B","ammonium_sulfate","2022","ws3","AM","Bulk","517_722",NA,11.81818182,0.564779932,0.104561095,0.005220793,NA,NA
"Brzostek_144","144","2022_3_AM4_R","ammonium_sulfate","2022","ws3","AM","Rhizosphere","517_722",NA,NA,0.36625331,0.189536924,0.006274336,0.511608999,1.059268738
"Brzostek_145","145","2022_3_AM4_B","ammonium_sulfate","2022","ws3","AM","Bulk","517_722",NA,20.6185567,0.522380993,0.174411743,0.003926294,0.360648246,1.51740367
"Brzostek_147","147","2022_3_AM5_R","ammonium_sulfate","2022","ws3","AM","Rhizosphere","517_722",NA,NA,0.021625718,0.401613017,0.010854865,0.362023143,0.537729605
"Brzostek_148","148","2022_3_AM5_B","ammonium_sulfate","2022","ws3","AM","Bulk","517_722",NA,38.31775701,0.087991433,0.137732462,0.008108754,0.279985845,0.400724204
"Brzostek_150","150","2022_3_AM6_R","ammonium_sulfate","2022","ws3","AM","Rhizosphere","517_722",NA,NA,0.718661983,0.482317005,0.004677548,0.660339119,0.657838028
"Brzostek_151","151","2022_3_AM6_B","ammonium_sulfate","2022","ws3","AM","Bulk","517_722",NA,28.92561983,0.744610628,0.13250196,0.004645743,0.316221464,0.110766804
"Brzostek_153","153","2022_3_ECM1_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","517_722",NA,NA,0.505928543,0.117446623,0.004327583,0.795549571,0.437928832
"Brzostek_154","154","2022_3_ECM1_B","ammonium_sulfate","2022","ws3","ECM","Bulk","517_722",NA,35.55555556,0.645163807,0.170148795,0.005683866,0.246485525,0.122486687
"Brzostek_156","156","2022_3_ECM2_R","ammonium_sulfate","2022","ws3","ECM","Rhizosphere","517_722",NA,NA,0.840586872,0.216701399,0.015064797,1.098494843,0.307247556
"Brzostek_157","157","2022_3_ECM2_B","ammonium_sulfate","2022","ws3","ECM","Bulk","517_722",NA,33.33333333,0.451784672,0.182342767,0.010987269,0.373916716,0.232020122
